timestamp 1655590017.270856, v 0.000000, i 0, n 0
timestamp 1655590021.498888, v 0.000000, i 0, n 0
timestamp 1655590021.523990, v 0.000000, i 0, n 0
timestamp 1655590021.549162, v 0.000000, i 0, n 0
timestamp 1655590021.574188, v 0.000000, i 0, n 0
timestamp 1655590021.599293, v 0.000000, i 0, n 0
timestamp 1655590021.624422, v 0.000000, i 0, n 0
timestamp 1655590021.649442, v 0.000000, i 0, n 0
timestamp 1655590021.674526, v 0.000000, i 0, n 0
timestamp 1655590021.699574, v 0.000000, i 0, n 0
timestamp 1655590021.724700, v 0.000000, i 0, n 0
timestamp 1655590021.749865, v 0.000000, i 0, n 0
timestamp 1655590021.775022, v 0.000000, i 0, n 0
timestamp 1655590021.800122, v 0.000000, i 0, n 0
timestamp 1655590021.825355, v 0.000000, i 0, n 0
timestamp 1655590021.850510, v 0.000000, i 0, n 0
timestamp 1655590021.875724, v 0.000000, i 0, n 0
timestamp 1655590021.900948, v 0.000000, i 0, n 0
timestamp 1655590021.926112, v 0.000000, i 0, n 0
timestamp 1655590021.951254, v 0.000000, i 0, n 0
timestamp 1655590021.976295, v 0.000000, i 0, n 0
timestamp 1655590022.001393, v 0.000000, i 0, n 0
timestamp 1655590022.026546, v 0.000000, i 0, n 0
timestamp 1655590022.051733, v 0.000000, i 0, n 0
timestamp 1655590022.076899, v 0.000000, i 0, n 0
timestamp 1655590022.102056, v 0.000000, i 0, n 0
timestamp 1655590022.127183, v 0.000000, i 0, n 0
timestamp 1655590022.152316, v 0.000000, i 0, n 0
timestamp 1655590022.177600, v 0.000000, i 0, n 0
timestamp 1655590022.202777, v 0.000000, i 0, n 0
timestamp 1655590022.227869, v 0.000000, i 0, n 0
timestamp 1655590022.253053, v 0.000000, i 0, n 0
timestamp 1655590022.278252, v 0.000000, i 0, n 0
timestamp 1655590022.303361, v 0.000000, i 0, n 0
timestamp 1655590022.328544, v 0.000000, i 0, n 0
timestamp 1655590022.353888, v 0.000000, i 0, n 0
timestamp 1655590022.379001, v 0.000000, i 0, n 0
timestamp 1655590022.404119, v 0.000000, i 0, n 0
timestamp 1655590022.429200, v 0.000000, i 0, n 0
timestamp 1655590022.454422, v 0.000000, i 0, n 0
timestamp 1655590022.479608, v 0.000000, i 0, n 0
timestamp 1655590022.504857, v 0.000000, i 0, n 0
timestamp 1655590022.529981, v 0.000000, i 0, n 0
timestamp 1655590022.560005, v 0.000000, i 0, n 0
timestamp 1655590022.584962, v 0.000000, i 0, n 0
timestamp 1655590022.610013, v 0.000000, i 0, n 0
timestamp 1655590022.634996, v 0.000000, i 0, n 0
timestamp 1655590022.660062, v 0.000000, i 0, n 0
timestamp 1655590022.685078, v 0.000000, i 0, n 0
timestamp 1655590022.710073, v 0.000000, i 0, n 0
timestamp 1655590022.735120, v 0.000000, i 0, n 0
timestamp 1655590022.760088, v 0.000000, i 0, n 0
timestamp 1655590022.785155, v 0.000000, i 0, n 0
timestamp 1655590022.810188, v 0.000000, i 0, n 0
timestamp 1655590022.835196, v 0.000000, i 0, n 0
timestamp 1655590022.860246, v 0.000000, i 0, n 0
timestamp 1655590022.885217, v 0.000000, i 0, n 0
timestamp 1655590022.910264, v 0.000000, i 0, n 0
timestamp 1655590022.935299, v 0.000000, i 0, n 0
timestamp 1655590022.960248, v 0.000000, i 0, n 0
timestamp 1655590022.985345, v 0.000000, i 0, n 0
timestamp 1655590023.010323, v 0.000000, i 0, n 0
timestamp 1655590023.035339, v 0.000000, i 0, n 0
timestamp 1655590023.060388, v 0.000000, i 0, n 0
timestamp 1655590023.085371, v 0.000000, i 0, n 0
timestamp 1655590023.110330, v 0.000000, i 0, n 0
timestamp 1655590023.135401, v 0.000000, i 0, n 0
timestamp 1655590023.160387, v 0.000000, i 0, n 0
timestamp 1655590023.185434, v 0.000000, i 0, n 0
timestamp 1655590023.210465, v 0.000000, i 0, n 0
timestamp 1655590023.235506, v 0.000000, i 0, n 0
timestamp 1655590023.260493, v 0.000000, i 0, n 0
timestamp 1655590023.285542, v 0.000000, i 0, n 0
timestamp 1655590023.310512, v 0.000000, i 0, n 0
timestamp 1655590023.335596, v 0.000000, i 0, n 0
timestamp 1655590023.360615, v 0.000000, i 0, n 0
timestamp 1655590023.385637, v 0.000000, i 0, n 0
timestamp 1655590023.410626, v 0.000000, i 0, n 0
timestamp 1655590023.435751, v 0.000000, i 0, n 0
timestamp 1655590023.460858, v 0.000000, i 0, n 0
timestamp 1655590023.485940, v 0.000000, i 0, n 0
timestamp 1655590023.515953, v 0.000000, i 0, n 0
timestamp 1655590023.541046, v 0.000000, i 0, n 0
timestamp 1655590023.566009, v 0.000000, i 0, n 0
timestamp 1655590023.591178, v 0.000000, i 0, n 0
timestamp 1655590023.616256, v 0.000000, i 0, n 0
timestamp 1655590023.641280, v 0.000000, i 0, n 0
timestamp 1655590023.666299, v 0.000000, i 0, n 0
timestamp 1655590023.691307, v 0.000000, i 0, n 0
timestamp 1655590023.716323, v 0.000000, i 0, n 0
timestamp 1655590023.741338, v 0.000000, i 0, n 0
timestamp 1655590023.766338, v 0.000000, i 0, n 0
timestamp 1655590023.791360, v 0.000000, i 0, n 0
timestamp 1655590023.816425, v 0.000000, i 0, n 0
timestamp 1655590023.841420, v 0.000000, i 0, n 0
timestamp 1655590023.866416, v 0.000000, i 0, n 0
timestamp 1655590023.891535, v 0.000000, i 0, n 0
timestamp 1655590023.916552, v 0.000000, i 0, n 0
timestamp 1655590023.941725, v 0.000000, i 0, n 0
timestamp 1655590023.966724, v 0.000000, i 0, n 0
timestamp 1655590023.991891, v 0.000000, i 0, n 0
timestamp 1655590024.017190, v 0.000000, i 0, n 0
timestamp 1655590024.042239, v 0.000000, i 0, n 0
timestamp 1655590024.067435, v 0.000000, i 0, n 0
timestamp 1655590024.092472, v 0.000000, i 0, n 0
timestamp 1655590024.117554, v 0.000000, i 0, n 0
timestamp 1655590024.142631, v 0.000000, i 0, n 0
timestamp 1655590024.167785, v 0.000000, i 0, n 0
timestamp 1655590024.192995, v 0.000000, i 0, n 0
timestamp 1655590024.218084, v 0.000000, i 0, n 0
timestamp 1655590024.243140, v 0.000000, i 0, n 0
timestamp 1655590024.268261, v 0.000000, i 0, n 0
timestamp 1655590024.293340, v 0.000000, i 0, n 0
timestamp 1655590024.318466, v 0.000000, i 0, n 0
timestamp 1655590024.343627, v 0.000000, i 0, n 0
timestamp 1655590024.368622, v 0.000000, i 0, n 0
timestamp 1655590024.393599, v 0.000000, i 0, n 0
timestamp 1655590024.418758, v 0.000000, i 0, n 0
timestamp 1655590024.443816, v 0.000000, i 0, n 0
timestamp 1655590024.468890, v 0.000000, i 0, n 0
timestamp 1655590024.493938, v 0.000000, i 0, n 0
timestamp 1655590024.518958, v 0.000000, i 0, n 0
timestamp 1655590024.544088, v 0.000000, i 0, n 0
timestamp 1655590024.569011, v 0.000000, i 0, n 0
timestamp 1655590024.594068, v 0.000000, i 0, n 0
timestamp 1655590024.619049, v 0.000000, i 0, n 0
timestamp 1655590024.644055, v 0.000000, i 0, n 0
timestamp 1655590024.669097, v 0.000000, i 0, n 0
timestamp 1655590024.694112, v 0.000000, i 0, n 0
timestamp 1655590024.719241, v 0.000000, i 0, n 0
timestamp 1655590024.744362, v 0.000000, i 0, n 0
timestamp 1655590024.769537, v 0.000000, i 0, n 0
timestamp 1655590024.794561, v 0.000000, i 0, n 0
timestamp 1655590024.819603, v 0.000000, i 0, n 0
timestamp 1655590024.844708, v 0.000000, i 0, n 0
timestamp 1655590024.869792, v 0.000000, i 0, n 0
timestamp 1655590024.894846, v 0.000000, i 0, n 0
timestamp 1655590024.920103, v 0.000000, i 0, n 0
timestamp 1655590024.945249, v 0.000000, i 0, n 0
timestamp 1655590024.970410, v 0.000000, i 0, n 0
timestamp 1655590024.995572, v 0.000000, i 0, n 0
timestamp 1655590025.020638, v 0.000000, i 0, n 0
timestamp 1655590025.045711, v 0.000000, i 0, n 0
timestamp 1655590025.070837, v 0.000000, i 0, n 0
timestamp 1655590025.096030, v 0.000000, i 0, n 0
timestamp 1655590025.121108, v 0.000000, i 0, n 0
timestamp 1655590025.146283, v 0.000000, i 0, n 0
timestamp 1655590025.171314, v 0.000000, i 0, n 0
timestamp 1655590025.196399, v 0.000000, i 0, n 0
timestamp 1655590025.221509, v 0.000000, i 0, n 0
timestamp 1655590025.246609, v 0.000000, i 0, n 0
timestamp 1655590025.271739, v 0.000000, i 0, n 0
timestamp 1655590025.296819, v 0.000000, i 0, n 0
timestamp 1655590025.321875, v 0.000000, i 0, n 0
timestamp 1655590025.346948, v 0.000000, i 0, n 0
timestamp 1655590025.371935, v 0.000000, i 0, n 0
timestamp 1655590025.396929, v 0.000000, i 0, n 0
timestamp 1655590025.421999, v 0.000000, i 0, n 0
timestamp 1655590025.447010, v 0.000000, i 0, n 0
timestamp 1655590025.472052, v 0.000000, i 0, n 0
timestamp 1655590025.497162, v 0.000000, i 0, n 0
timestamp 1655590025.522357, v 0.000000, i 0, n 0
timestamp 1655590025.547439, v 0.000000, i 0, n 0
timestamp 1655590025.572596, v 0.000000, i 0, n 0
timestamp 1655590025.597780, v 0.000000, i 0, n 0
timestamp 1655590025.622977, v 0.000000, i 0, n 0
timestamp 1655590025.647994, v 0.000000, i 0, n 0
timestamp 1655590025.673173, v 0.000000, i 0, n 0
timestamp 1655590025.698215, v 0.000000, i 0, n 0
timestamp 1655590025.723272, v 0.000000, i 0, n 0
timestamp 1655590025.748430, v 0.000000, i 0, n 0
timestamp 1655590025.773430, v 0.000000, i 0, n 0
timestamp 1655590025.803403, v 0.000000, i 0, n 0
timestamp 1655590025.828499, v 0.000000, i 0, n 0
timestamp 1655590025.853549, v 0.000000, i 0, n 0
timestamp 1655590025.878566, v 0.000000, i 0, n 0
timestamp 1655590025.903630, v 0.000000, i 0, n 0
timestamp 1655590025.928658, v 0.000000, i 0, n 0
timestamp 1655590025.954133, v 0.000000, i 0, n 0
timestamp 1655590025.978690, v 0.000000, i 0, n 0
timestamp 1655590026.003735, v 0.000000, i 0, n 0
timestamp 1655590026.028870, v 0.000000, i 0, n 0
timestamp 1655590026.053748, v 0.000000, i 0, n 0
timestamp 1655590026.078761, v 0.000000, i 0, n 0
timestamp 1655590026.103842, v 0.000000, i 0, n 0
timestamp 1655590026.129024, v 0.000000, i 0, n 0
timestamp 1655590026.154105, v 0.000000, i 0, n 0
timestamp 1655590026.179049, v 0.000000, i 0, n 0
timestamp 1655590026.204143, v 0.000000, i 0, n 0
timestamp 1655590026.229140, v 0.000000, i 0, n 0
timestamp 1655590026.254098, v 0.000000, i 0, n 0
timestamp 1655590026.279179, v 0.000000, i 0, n 0
timestamp 1655590026.304254, v 0.000000, i 0, n 0
timestamp 1655590026.329296, v 0.000000, i 0, n 0
timestamp 1655590026.354322, v 0.000000, i 0, n 0
timestamp 1655590026.379429, v 0.000000, i 0, n 0
timestamp 1655590026.404362, v 0.000000, i 0, n 0
timestamp 1655590026.429388, v 0.000000, i 0, n 0
timestamp 1655590026.454666, v 0.000000, i 0, n 0
timestamp 1655590026.479902, v 0.000000, i 0, n 0
timestamp 1655590026.504979, v 0.000000, i 0, n 0
timestamp 1655590026.530000, v 0.000000, i 0, n 0
timestamp 1655590026.555111, v 0.000000, i 0, n 0
timestamp 1655590026.580191, v 0.000000, i 0, n 0
timestamp 1655590026.605229, v 0.000000, i 0, n 0
timestamp 1655590026.630410, v 0.000000, i 0, n 0
timestamp 1655590026.655471, v 0.000000, i 0, n 0
timestamp 1655590026.680592, v 0.000000, i 0, n 0
timestamp 1655590026.705758, v 0.000000, i 0, n 0
timestamp 1655590026.730916, v 0.000000, i 0, n 0
timestamp 1655590026.756035, v 0.000000, i 0, n 0
timestamp 1655590026.781074, v 0.000000, i 0, n 0
timestamp 1655590026.806193, v 0.000000, i 0, n 0
timestamp 1655590026.831188, v 0.000000, i 0, n 0
timestamp 1655590026.856227, v 0.000000, i 0, n 0
timestamp 1655590026.881288, v 0.000000, i 0, n 0
timestamp 1655590026.906295, v 0.000000, i 0, n 0
timestamp 1655590026.931393, v 0.000000, i 0, n 0
timestamp 1655590026.956365, v 0.000000, i 0, n 0
timestamp 1655590026.981428, v 0.000000, i 0, n 0
timestamp 1655590027.006533, v 0.000000, i 0, n 0
timestamp 1655590027.031582, v 0.000000, i 0, n 0
timestamp 1655590027.056597, v 0.000000, i 0, n 0
timestamp 1655590027.081642, v 0.000000, i 0, n 0
timestamp 1655590027.106696, v 0.000000, i 0, n 0
timestamp 1655590027.131736, v 0.000000, i 0, n 0
timestamp 1655590027.156769, v 0.000000, i 0, n 0
timestamp 1655590027.181905, v 0.000000, i 0, n 0
timestamp 1655590027.206941, v 0.000000, i 0, n 0
timestamp 1655590027.232101, v 0.000000, i 0, n 0
timestamp 1655590027.257068, v 0.000000, i 0, n 0
timestamp 1655590027.282253, v 0.000000, i 0, n 0
timestamp 1655590027.307430, v 0.000000, i 0, n 0
timestamp 1655590027.332579, v 0.000000, i 0, n 0
timestamp 1655590027.357683, v 0.000000, i 0, n 0
timestamp 1655590027.382658, v 0.000000, i 0, n 0
timestamp 1655590027.407741, v 0.000000, i 0, n 0
timestamp 1655590027.432797, v 0.000000, i 0, n 0
timestamp 1655590027.457802, v 0.000000, i 0, n 0
timestamp 1655590027.482920, v 0.000000, i 0, n 0
timestamp 1655590027.507990, v 0.000000, i 0, n 0
timestamp 1655590027.537979, v 0.000000, i 0, n 0
timestamp 1655590027.563086, v 0.000000, i 0, n 0
timestamp 1655590027.588192, v 0.000000, i 0, n 0
timestamp 1655590027.613187, v 0.000000, i 0, n 0
timestamp 1655590027.638336, v 0.000000, i 0, n 0
timestamp 1655590027.663323, v 0.000000, i 0, n 0
timestamp 1655590027.688550, v 0.000000, i 0, n 0
timestamp 1655590027.713607, v 0.000000, i 0, n 0
timestamp 1655590027.738702, v 0.000000, i 0, n 0
timestamp 1655590027.763822, v 0.000000, i 0, n 0
timestamp 1655590027.788920, v 0.000000, i 0, n 0
timestamp 1655590027.814084, v 0.000000, i 0, n 0
timestamp 1655590027.839201, v 0.000000, i 0, n 0
timestamp 1655590027.864343, v 0.000000, i 0, n 0
timestamp 1655590027.889400, v 0.000000, i 0, n 0
timestamp 1655590027.914504, v 0.000000, i 0, n 0
timestamp 1655590027.939581, v 0.000000, i 0, n 0
timestamp 1655590027.964609, v 0.000000, i 0, n 0
timestamp 1655590027.989726, v 0.000000, i 0, n 0
timestamp 1655590028.014728, v 0.000000, i 0, n 0
timestamp 1655590028.039822, v 0.000000, i 0, n 0
timestamp 1655590028.064888, v 0.000000, i 0, n 0
timestamp 1655590028.089989, v 0.000000, i 0, n 0
timestamp 1655590028.119969, v 0.000000, i 0, n 0
timestamp 1655590028.145129, v 0.000000, i 0, n 0
timestamp 1655590028.170220, v 0.000000, i 0, n 0
timestamp 1655590028.195250, v 0.000000, i 0, n 0
timestamp 1655590028.220264, v 0.000000, i 0, n 0
timestamp 1655590028.245398, v 0.000000, i 0, n 0
timestamp 1655590028.270490, v 0.000000, i 0, n 0
timestamp 1655590028.295667, v 0.000000, i 0, n 0
timestamp 1655590028.320651, v 0.000000, i 0, n 0
timestamp 1655590028.345781, v 0.000000, i 0, n 0
timestamp 1655590028.370828, v 0.000000, i 0, n 0
timestamp 1655590028.395976, v 0.000000, i 0, n 0
timestamp 1655590028.420954, v 0.000000, i 0, n 0
timestamp 1655590028.446058, v 0.000000, i 0, n 0
timestamp 1655590028.471105, v 0.000000, i 0, n 0
timestamp 1655590028.496236, v 0.000000, i 0, n 0
timestamp 1655590028.521293, v 0.000000, i 0, n 0
timestamp 1655590028.546401, v 0.000000, i 0, n 0
timestamp 1655590028.571558, v 0.000000, i 0, n 0
timestamp 1655590028.596619, v 0.000000, i 0, n 0
timestamp 1655590028.621669, v 0.000000, i 0, n 0
timestamp 1655590028.646724, v 0.000000, i 0, n 0
timestamp 1655590028.671763, v 0.000000, i 0, n 0
timestamp 1655590028.696769, v 0.000000, i 0, n 0
timestamp 1655590028.721788, v 0.000000, i 0, n 0
timestamp 1655590028.746869, v 0.000000, i 0, n 0
timestamp 1655590028.771862, v 0.000000, i 0, n 0
timestamp 1655590028.796881, v 0.000000, i 0, n 0
timestamp 1655590028.821999, v 0.000000, i 0, n 0
timestamp 1655590028.847129, v 0.000000, i 0, n 0
timestamp 1655590028.872266, v 0.000000, i 0, n 0
timestamp 1655590028.897392, v 0.000000, i 0, n 0
timestamp 1655590028.922381, v 0.000000, i 0, n 0
timestamp 1655590028.947415, v 0.000000, i 0, n 0
timestamp 1655590028.972566, v 0.000000, i 0, n 0
timestamp 1655590028.997753, v 0.000000, i 0, n 0
timestamp 1655590029.022811, v 0.000000, i 0, n 0
timestamp 1655590029.047975, v 0.000000, i 0, n 0
timestamp 1655590029.073039, v 0.000000, i 0, n 0
timestamp 1655590029.098136, v 0.000000, i 0, n 0
timestamp 1655590029.123186, v 0.000000, i 0, n 0
timestamp 1655590029.148194, v 0.000000, i 0, n 0
timestamp 1655590029.173342, v 0.000000, i 0, n 0
timestamp 1655590029.198445, v 0.000000, i 0, n 0
timestamp 1655590029.223646, v 0.000000, i 0, n 0
timestamp 1655590029.248614, v 0.000000, i 0, n 0
timestamp 1655590029.273783, v 0.000000, i 0, n 0
timestamp 1655590029.298835, v 0.000000, i 0, n 0
timestamp 1655590029.323908, v 0.000000, i 0, n 0
timestamp 1655590029.348897, v 0.000000, i 0, n 0
timestamp 1655590029.374037, v 0.000000, i 0, n 0
timestamp 1655590029.404130, v 0.000000, i 0, n 0
timestamp 1655590029.429098, v 0.000000, i 0, n 0
timestamp 1655590029.454080, v 0.000000, i 0, n 0
timestamp 1655590029.479121, v 0.000000, i 0, n 0
timestamp 1655590029.504146, v 0.000000, i 0, n 0
timestamp 1655590029.529168, v 0.000000, i 0, n 0
timestamp 1655590029.554208, v 0.000000, i 0, n 0
timestamp 1655590029.579204, v 0.000000, i 0, n 0
timestamp 1655590029.604239, v 0.000000, i 0, n 0
timestamp 1655590029.629309, v 0.000000, i 0, n 0
timestamp 1655590029.654285, v 0.000000, i 0, n 0
timestamp 1655590029.679348, v 0.000000, i 0, n 0
timestamp 1655590029.704329, v 0.000000, i 0, n 0
timestamp 1655590029.729399, v 0.000000, i 0, n 0
timestamp 1655590029.754397, v 0.000000, i 0, n 0
timestamp 1655590029.779377, v 0.000000, i 0, n 0
timestamp 1655590029.804479, v 0.000000, i 0, n 0
