# CARMEN Logfile
# file format is one message per line
# message_name [message contents] ipc_timestamp ipc_hostname logger_timestamp
# message formats defined: PARAM SYNC ODOM RAWLASER1 RAWLASER2 RAWLASER3 RAWLASER4 ROBOTLASER1 ROBOTLASER2 FLASER RLASER LASER3 LASER4
# PARAM param_name param_value
# COMMENT text 
# SYNC tagname
# ODOM x y theta tv rv accel
# TRUEPOS true_x true_y true_theta odom_x odom_y odom_theta
# RAWLASER1 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values]
# RAWLASER2 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values]
# RAWLASER3 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values]
# RAWLASER4 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values]
# POSITIONLASER laserid x y z phi(roll) theta(pitch) psi(yaw) 
# ROBOTLASER1 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values] laser_pose_x laser_pose_y laser_pose_theta robot_pose_x robot_pose_y robot_pose_theta laser_tv laser_rv forward_safety_dist side_safty_dist turn_axis
# ROBOTLASER2 laser_type start_angle field_of_view angular_resolution maximum_range accuracy remission_mode num_readings [range_readings] num_remissions [remission values] laser_pose_x laser_pose_y laser_pose_theta robot_pose_x robot_pose_y robot_pose_theta laser_tv laser_rv forward_safety_dist side_safty_dist turn_axis
# NMEAGGA gpsnr utc latitude_dm lat_orient longitude_dm long_orient gps_quality num_satellites hdop sea_level alititude geo_sea_level geo_sep data_age
# NMEARMC gpsnr validity utc latitude_dm lat_orient longitude_dm long_orient speed course variation var_dir date
# SONAR cone_angle num_sonars [sonar_reading] [sonar_offsets x y theta]
# BUMPER num_bumpers [bumper_reading] [bumper_offsets x y]
# SCANMARK start_stop_indicator laserID 
# IMU accelerationX accelerationY accelerationZ quaternion_q0 quaternion_q1 quaternion_q2 quaternion_q3 magneticfieldX magneticfieldY magneticfieldZ gyroX gyroY gyroZ
# XSENS_EULER accelerationX accelerationY accelerationZ pitch roll yaw magneticfieldX magneticfieldY magneticfieldZ gyroX gyroY gyroZ
# XSENS_QUAT accelerationX accelerationY accelerationZ quaternion_q0 quaternion_q1 quaternion_q2 quaternion_q3 magneticfieldX magneticfieldY magneticfieldZ gyroX gyroY gyroZ
# XSENS_MATRIX accelerationX accelerationY accelerationZ matrix_0-0 matrix_0-1 matrix_0-2 matrix_1-0 matrix_1-1 matrix_1-2 matrix_2-0 matrix_2-1 matrix_2-2s magneticfieldX magneticfieldY magneticfieldZ gyroX gyroY gyroZ
# XSENS_MTIG quaternion_q0 quaternion_q1 quaternion_q2 quaternion_q3 accelerationX accelerationY accelerationZ gyroX gyroY gyroZ magneticfieldX magneticfieldY magneticfieldZ velocityX velocityY velocityZ latitude longitude height gps_fix xkf_valid sensor_ID
# VECTORMOVE distance theta
# ROBOTVELOCITY tv rv 
# VECTORMOVE distance theta
# ROBOTVELOCITY tv rv 
# FOLLOWTRAJECTORY x y theta tv rv num readings [trajectory points: x y theta tv rv]
# BASEVELOCITY tv rv 
# 
# OLD LOG MESSAGES: 
# (old) # FLASER num_readings [range_readings] x y theta odom_x odom_y odom_theta
# (old) # RLASER num_readings [range_readings] x y theta odom_x odom_y odom_theta
# (old) # LASER3 num_readings [range_readings]
# (old) # LASER4 num_readings [range_readings]
# (old) # REMISSIONFLASER num_readings [range_readings remission_value]
# (old) # REMISSIONRLASER num_readings [range_readings remission_value]
# (old) # REMISSIONLASER3 num_readings [range_readings remission_value]
# (old) # REMISSIONLASER4 num_readings [range_readings remission_value]
# robot: default
PARAM localize_ackerman_laser_ldmrs_unexpeted_delta_range_sigma 6.0 1588794003.470674 lcad-G7-7588 1588794003.470674
PARAM localize_ackerman_stereo_velodyne2 off 1588794003.470677 lcad-G7-7588 1588794003.470677
PARAM localize_ackerman_stereo_velodyne2_locc 5.0 1588794003.470679 lcad-G7-7588 1588794003.470679
PARAM localize_ackerman_stereo_velodyne2_lfree -5.0 1588794003.470680 lcad-G7-7588 1588794003.470680
PARAM localize_ackerman_stereo_velodyne2_l0 0.0 1588794003.470684 lcad-G7-7588 1588794003.470683
PARAM localize_ackerman_stereo_velodyne2_unexpeted_delta_range_sigma 6.0 1588794003.470685 lcad-G7-7588 1588794003.470685
PARAM localize_ackerman_stereo_velodyne3 off 1588794003.470689 lcad-G7-7588 1588794003.470689
PARAM localize_ackerman_stereo_velodyne3_locc 2.0 1588794003.470696 lcad-G7-7588 1588794003.470696
PARAM localize_ackerman_stereo_velodyne3_lfree -10.0 1588794003.470698 lcad-G7-7588 1588794003.470698
PARAM localize_ackerman_stereo_velodyne3_l0 -1.3 1588794003.470701 lcad-G7-7588 1588794003.470701
PARAM localize_ackerman_stereo_velodyne3_unexpeted_delta_range_sigma 0.2 1588794003.470703 lcad-G7-7588 1588794003.470703
PARAM localize_ackerman_stereo_velodyne4 off 1588794003.470706 lcad-G7-7588 1588794003.470706
PARAM localize_ackerman_stereo_velodyne4_locc 5.0 1588794003.470708 lcad-G7-7588 1588794003.470708
PARAM localize_ackerman_stereo_velodyne4_lfree -5.0 1588794003.470709 lcad-G7-7588 1588794003.470709
PARAM localize_ackerman_stereo_velodyne4_l0 0.0 1588794003.470712 lcad-G7-7588 1588794003.470712
PARAM localize_ackerman_stereo_velodyne4_unexpeted_delta_range_sigma 6.0 1588794003.470714 lcad-G7-7588 1588794003.470714
PARAM localize_ackerman_stereo_velodyne5 off 1588794003.470717 lcad-G7-7588 1588794003.470717
PARAM localize_ackerman_stereo_velodyne5_locc 5.0 1588794003.470719 lcad-G7-7588 1588794003.470719
PARAM localize_ackerman_stereo_velodyne5_lfree -5.0 1588794003.470720 lcad-G7-7588 1588794003.470720
PARAM localize_ackerman_stereo_velodyne5_l0 0.0 1588794003.470723 lcad-G7-7588 1588794003.470723
PARAM localize_ackerman_stereo_velodyne5_unexpeted_delta_range_sigma 6.0 1588794003.470725 lcad-G7-7588 1588794003.470725
PARAM localize_ackerman_stereo_velodyne6 off 1588794003.470728 lcad-G7-7588 1588794003.470728
PARAM localize_ackerman_stereo_velodyne6_locc 5.0 1588794003.470730 lcad-G7-7588 1588794003.470730
PARAM localize_ackerman_stereo_velodyne6_lfree -5.0 1588794003.470731 lcad-G7-7588 1588794003.470731
PARAM localize_ackerman_stereo_velodyne6_l0 0.0 1588794003.470734 lcad-G7-7588 1588794003.470734
PARAM localize_ackerman_stereo_velodyne6_unexpeted_delta_range_sigma 6.0 1588794003.470736 lcad-G7-7588 1588794003.470736
PARAM localize_ackerman_stereo_velodyne7 off 1588794003.470739 lcad-G7-7588 1588794003.470739
PARAM localize_ackerman_stereo_velodyne7_locc 5.0 1588794003.470741 lcad-G7-7588 1588794003.470741
PARAM localize_ackerman_stereo_velodyne7_lfree -5.0 1588794003.470742 lcad-G7-7588 1588794003.470742
PARAM localize_ackerman_stereo_velodyne7_l0 0.0 1588794003.470745 lcad-G7-7588 1588794003.470745
PARAM localize_ackerman_stereo_velodyne7_unexpeted_delta_range_sigma 6.0 1588794003.470747 lcad-G7-7588 1588794003.470747
PARAM localize_ackerman_stereo_velodyne8 off 1588794003.470750 lcad-G7-7588 1588794003.470750
PARAM localize_ackerman_stereo_velodyne8_locc 5.0 1588794003.470752 lcad-G7-7588 1588794003.470752
PARAM localize_ackerman_stereo_velodyne8_lfree -5.0 1588794003.470753 lcad-G7-7588 1588794003.470753
PARAM localize_ackerman_stereo_velodyne8_l0 0.0 1588794003.470756 lcad-G7-7588 1588794003.470756
PARAM localize_ackerman_stereo_velodyne8_unexpeted_delta_range_sigma 6.0 1588794003.470758 lcad-G7-7588 1588794003.470758
PARAM localize_ackerman_stereo_velodyne9 off 1588794003.470761 lcad-G7-7588 1588794003.470761
PARAM localize_ackerman_stereo_velodyne9_locc 5.0 1588794003.470763 lcad-G7-7588 1588794003.470762
PARAM localize_ackerman_stereo_velodyne9_lfree -5.0 1588794003.470764 lcad-G7-7588 1588794003.470764
PARAM localize_ackerman_stereo_velodyne9_l0 0.0 1588794003.470767 lcad-G7-7588 1588794003.470767
PARAM localize_ackerman_stereo_velodyne9_unexpeted_delta_range_sigma 6.0 1588794003.470769 lcad-G7-7588 1588794003.470769
PARAM localize_ackerman_swarm_max_particle_velocity 2.0 1588794003.470772 lcad-G7-7588 1588794003.470772
PARAM localize_ackerman_swarm_max_particle_angular_velocity 0.5 1588794003.470775 lcad-G7-7588 1588794003.470775
PARAM localize_ackerman_swarm_num_iteration 5 1588794003.470778 lcad-G7-7588 1588794003.470778
PARAM localize_ackerman_max_particle_displacement 10.0 1588794003.470780 lcad-G7-7588 1588794003.470780
PARAM localize_ackerman_max_particle_angular_displacement 0.5 1588794003.470783 lcad-G7-7588 1588794003.470783
PARAM localize_ackerman_de_crossover_rate 0.9 1588794003.470787 lcad-G7-7588 1588794003.470787
PARAM localize_ackerman_de_mutation_rate 0.2 1588794003.470790 lcad-G7-7588 1588794003.470790
PARAM localize_ackerman_de_num_iteration 2 1588794003.470792 lcad-G7-7588 1588794003.470792
PARAM localize_ackerman_velocity_noise_velocity 0.15 1588794003.470794 lcad-G7-7588 1588794003.470794
PARAM localize_ackerman_velocity_noise_phi 0.0 1588794003.470797 lcad-G7-7588 1588794003.470797
PARAM localize_ackerman_phi_noise_phi 0.35 1588794003.470798 lcad-G7-7588 1588794003.470798
PARAM localize_ackerman_phi_noise_velocity 0.0 1588794003.470800 lcad-G7-7588 1588794003.470800
PARAM localize_ackerman_prediction_type 1 1588794003.470802 lcad-G7-7588 1588794003.470802
PARAM localize_use_rear_laser off 1588794003.470803 lcad-G7-7588 1588794003.470803
PARAM localize_update_distance 0.0 1588794003.470805 lcad-G7-7588 1588794003.470805
PARAM localize_integrate_angle_deg 3.0 1588794003.470806 lcad-G7-7588 1588794003.470806
PARAM localize_do_scanmatching off 1588794003.470808 lcad-G7-7588 1588794003.470808
PARAM localize_constrain_to_map off 1588794003.470810 lcad-G7-7588 1588794003.470810
PARAM localize_global_evidence_weight 0.01 1588794003.470811 lcad-G7-7588 1588794003.470811
PARAM localize_global_distance_threshold 2.0 1588794003.470813 lcad-G7-7588 1588794003.470813
PARAM localize_global_test_samples 100000 1588794003.470815 lcad-G7-7588 1588794003.470814
PARAM localize_use_sensor on 1588794003.470816 lcad-G7-7588 1588794003.470816
PARAM localize_mean_c_d -0.0123 1588794003.470818 lcad-G7-7588 1588794003.470818
PARAM localize_mean_c_t -0.1065 1588794003.470819 lcad-G7-7588 1588794003.470819
PARAM localize_std_dev_c_d 0.1380 1588794003.470821 lcad-G7-7588 1588794003.470821
PARAM localize_std_dev_c_t 0.2347 1588794003.470823 lcad-G7-7588 1588794003.470823
PARAM localize_mean_d_d 1.0055 1588794003.470824 lcad-G7-7588 1588794003.470824
PARAM localize_mean_d_t 0.0025 1588794003.470826 lcad-G7-7588 1588794003.470826
PARAM localize_std_dev_d_d 0.1925 1588794003.470827 lcad-G7-7588 1588794003.470827
PARAM localize_std_dev_d_t 0.3982 1588794003.470829 lcad-G7-7588 1588794003.470829
PARAM localize_mean_t_d -0.0035 1588794003.470831 lcad-G7-7588 1588794003.470831
PARAM localize_mean_t_t 0.9638 1588794003.470832 lcad-G7-7588 1588794003.470832
PARAM localize_std_dev_t_d 0.0110 1588794003.470834 lcad-G7-7588 1588794003.470834
PARAM localize_std_dev_t_t 0.3300 1588794003.470835 lcad-G7-7588 1588794003.470835
PARAM localize_traf_num_particles 500 1588794003.470837 lcad-G7-7588 1588794003.470837
PARAM localize_traf_motion_model 3 1588794003.470839 lcad-G7-7588 1588794003.470839
PARAM localize_traf_odom_a1 0.00002 1588794003.470840 lcad-G7-7588 1588794003.470840
PARAM localize_traf_odom_a2 0.00001 1588794003.470842 lcad-G7-7588 1588794003.470842
PARAM localize_traf_odom_a3 0.00002 1588794003.470844 lcad-G7-7588 1588794003.470844
PARAM localize_traf_odom_a4 0.00001 1588794003.470845 lcad-G7-7588 1588794003.470845
PARAM localize_traf_ack_a1 0.02 1588794003.470847 lcad-G7-7588 1588794003.470847
PARAM localize_traf_ack_a2 0.001 1588794003.470848 lcad-G7-7588 1588794003.470848
PARAM localize_traf_ack_a3 0.001 1588794003.470850 lcad-G7-7588 1588794003.470850
PARAM localize_traf_ack_a4 0.001 1588794003.470852 lcad-G7-7588 1588794003.470852
PARAM localize_traf_global_distance_threshold 2.0 1588794003.470853 lcad-G7-7588 1588794003.470853
PARAM localize_traf_vel_a1 0.01 1588794003.470855 lcad-G7-7588 1588794003.470855
PARAM localize_traf_vel_a2 0.5 1588794003.470856 lcad-G7-7588 1588794003.470856
PARAM localize_traf_vel_a3 0.01 1588794003.470858 lcad-G7-7588 1588794003.470858
PARAM localize_traf_vel_a4 0.5 1588794003.470860 lcad-G7-7588 1588794003.470860
PARAM localize_traf_vel_a5 0.01 1588794003.470861 lcad-G7-7588 1588794003.470861
PARAM localize_traf_vel_a6 0.5 1588794003.470863 lcad-G7-7588 1588794003.470863
PARAM localize_traf_laser_sampling_step 18 1588794003.470864 lcad-G7-7588 1588794003.470864
PARAM localize_traf_laser_num_beams 361 1588794003.470866 lcad-G7-7588 1588794003.470866
PARAM localize_traf_laser_fov_range 180.0 1588794003.470870 lcad-G7-7588 1588794003.470870
PARAM localize_traf_laser_start_angle -90.0 1588794003.470872 lcad-G7-7588 1588794003.470872
PARAM localize_traf_laser_max_range 20.0 1588794003.470873 lcad-G7-7588 1588794003.470873
PARAM localize_traf_laser_lambda_short 1.0 1588794003.470875 lcad-G7-7588 1588794003.470875
PARAM localize_traf_laser_sigma_zhit 0.3 1588794003.470877 lcad-G7-7588 1588794003.470877
PARAM localize_traf_laser_zhit 0.3 1588794003.470878 lcad-G7-7588 1588794003.470878
PARAM localize_traf_laser_zmax 0.5 1588794003.470880 lcad-G7-7588 1588794003.470880
PARAM localize_traf_laser_zrand 0.1 1588794003.470881 lcad-G7-7588 1588794003.470881
PARAM localize_traf_laser_zshort 0.1 1588794003.470883 lcad-G7-7588 1588794003.470883
PARAM slam_icp_initialization_time 0.0 1588794003.471000 lcad-G7-7588 1588794003.471000
PARAM slam_icp_update_distance 0.1 1588794003.471002 lcad-G7-7588 1588794003.471002
PARAM slam_icp_update_angle 5.0 1588794003.471004 lcad-G7-7588 1588794003.471004
PARAM slam_icp_highest_point 3.0 1588794003.471005 lcad-G7-7588 1588794003.471005
PARAM fused_odometry_num_particles 500 1588794003.471147 lcad-G7-7588 1588794003.471147
PARAM fused_odometry_frequency 40 1588794003.471149 lcad-G7-7588 1588794003.471149
PARAM fused_odometry_kalman_filter off 1588794003.471151 lcad-G7-7588 1588794003.471150
PARAM fused_odometry_velocity_noise_velocity 0.1 1588794003.471152 lcad-G7-7588 1588794003.471152
PARAM fused_odometry_velocity_noise_phi 0.0 1588794003.471154 lcad-G7-7588 1588794003.471154
PARAM fused_odometry_phi_noise_phi 0.1 1588794003.471156 lcad-G7-7588 1588794003.471156
PARAM fused_odometry_phi_noise_velocity 0.02 1588794003.471157 lcad-G7-7588 1588794003.471157
PARAM fused_odometry_pitch_v_noise_pitch_v 0.0 1588794003.471159 lcad-G7-7588 1588794003.471159
PARAM fused_odometry_pitch_v_noise_velocity 0.0 1588794003.471160 lcad-G7-7588 1588794003.471160
PARAM fused_odometry_minimum_speed_for_correction 0.1 1588794003.471162 lcad-G7-7588 1588794003.471162
PARAM fused_odometry_maximum_phi 30.0 1588794003.471165 lcad-G7-7588 1588794003.471165
PARAM fused_odometry_xsens_yaw_bias_noise 10.0 1588794003.471167 lcad-G7-7588 1588794003.471167
PARAM fused_odometry_xsens_maximum_yaw_bias 30.0 1588794003.471169 lcad-G7-7588 1588794003.471169
PARAM fused_odometry_xsens_roll_std_error 0.0 1588794003.471171 lcad-G7-7588 1588794003.471171
PARAM fused_odometry_xsens_pitch_std_error 0.0 1588794003.471172 lcad-G7-7588 1588794003.471172
PARAM fused_odometry_xsens_yaw_std_error 20.0 1588794003.471174 lcad-G7-7588 1588794003.471174
PARAM fused_odometry_xsens_gps_x_std_error 3.0 1588794003.471176 lcad-G7-7588 1588794003.471175
PARAM fused_odometry_xsens_gps_y_std_error 3.0 1588794003.471177 lcad-G7-7588 1588794003.471177
PARAM fused_odometry_xsens_gps_z_std_error 3.0 1588794003.471179 lcad-G7-7588 1588794003.471179
PARAM fused_odometry_acc_std_error 0.0 1588794003.471180 lcad-G7-7588 1588794003.471180
PARAM fused_odometry_acc_bias_std_error 0.0 1588794003.471182 lcad-G7-7588 1588794003.471182
PARAM fused_odometry_use_viso_odometry 0 1588794003.471184 lcad-G7-7588 1588794003.471184
PARAM fused_odometry_use_car_odometry 1 1588794003.471185 lcad-G7-7588 1588794003.471185
PARAM fused_odometry_publish_particles off 1588794003.471187 lcad-G7-7588 1588794003.471187
PARAM map_server_publish_grid_mapping on 1588794003.471297 lcad-G7-7588 1588794003.471297
PARAM map_server_initial_waiting_time 3.0 1588794003.471300 lcad-G7-7588 1588794003.471300
PARAM map_server_map_grid_res 0.2 1588794003.471301 lcad-G7-7588 1588794003.471301
PARAM map_server_map_width 210.0 1588794003.471303 lcad-G7-7588 1588794003.471303
PARAM map_server_map_height 210.0 1588794003.471305 lcad-G7-7588 1588794003.471305
PARAM map_server_time_interval_for_map_change 0.3 1588794003.471306 lcad-G7-7588 1588794003.471306
PARAM map_server_publish_google_map off 1588794003.471308 lcad-G7-7588 1588794003.471308
PARAM mapper_number_of_sensors 22 1588794003.471820 lcad-G7-7588 1588794003.471820
PARAM mapper_safe_range_above_sensors -0.3 1588794003.471823 lcad-G7-7588 1588794003.471823
PARAM mapper_max_velocity_lambda_short_state 3.0 1588794003.471833 lcad-G7-7588 1588794003.471833
PARAM mapper_height_max_level 0 1588794003.471835 lcad-G7-7588 1588794003.471835
PARAM mapper_safe_height_from_ground_level1 0.0 1588794003.471837 lcad-G7-7588 1588794003.471837
PARAM mapper_number_of_threads 1 1588794003.471839 lcad-G7-7588 1588794003.471839
PARAM mapper_unsafe_height_above_ground 10.5 1588794003.471840 lcad-G7-7588 1588794003.471840
PARAM mapper_map_locc 5.0 1588794003.471842 lcad-G7-7588 1588794003.471842
PARAM mapper_map_lfree -1.0 1588794003.471844 lcad-G7-7588 1588794003.471844
PARAM mapper_map_l0 0.0 1588794003.471845 lcad-G7-7588 1588794003.471845
PARAM mapper_map_log_odds_max 150.0 1588794003.471847 lcad-G7-7588 1588794003.471847
PARAM mapper_map_log_odds_min 50.0 1588794003.471849 lcad-G7-7588 1588794003.471849
PARAM mapper_map_log_odds_bias 100.0 1588794003.471850 lcad-G7-7588 1588794003.471850
PARAM mapper_map_range_factor 1.0 1588794003.471852 lcad-G7-7588 1588794003.471852
PARAM mapper_map_grid_res 0.2 1588794003.471854 lcad-G7-7588 1588794003.471854
PARAM mapper_map_width 210.0 1588794003.471855 lcad-G7-7588 1588794003.471855
PARAM mapper_map_height 210.0 1588794003.471857 lcad-G7-7588 1588794003.471857
PARAM mapper_map_global_grid_res 4.0 1588794003.471859 lcad-G7-7588 1588794003.471859
PARAM mapper_map_global_width 1800 1588794003.471860 lcad-G7-7588 1588794003.471860
PARAM mapper_map_global_height 1800 1588794003.471862 lcad-G7-7588 1588794003.471862
PARAM mapper_moving_objects_raw_map on 1588794003.471864 lcad-G7-7588 1588794003.471863
PARAM mapper_update_cells_below_car on 1588794003.471865 lcad-G7-7588 1588794003.471865
PARAM mapper_remission_threshold 60.0 1588794003.471867 lcad-G7-7588 1588794003.471867
PARAM mapper_save_map on 1588794003.471869 lcad-G7-7588 1588794003.471868
PARAM mapper_update_and_merge_with_snapshot_map off 1588794003.471870 lcad-G7-7588 1588794003.471870
PARAM mapper_global_map off 1588794003.471874 lcad-G7-7588 1588794003.471874
PARAM mapper_merge_with_offline_map off 1588794003.471875 lcad-G7-7588 1588794003.471875
PARAM mapper_decay_to_offline_map off 1588794003.471877 lcad-G7-7588 1588794003.471877
PARAM mapper_update_and_merge_with_mapper_saved_maps on 1588794003.471879 lcad-G7-7588 1588794003.471879
PARAM mapper_build_snapshot_map off 1588794003.471882 lcad-G7-7588 1588794003.471882
